Kind,Name,CountLineComment,CountLineCode,RatioCommentToCode,PercentLackOfCohesion,CountDeclMethodAll,CountDeclMethod,MaxInheritanceTree,CountLine,CountClassDerived
File,BrowserConfigurationOptionsTest.java,16,101,0.16,,,15,,137,
File,BrowserDesiredCapabilityConverter.java,18,30,0.6,,,1,,52,
File,BrowserTimeOutTest.java,20,55,0.36,,,3,,89,
File,BrowserType.java,22,25,0.88,,,0,,50,
File,BuckBuild.java,19,86,0.22,,,4,,131,
File,Build.java,19,83,0.23,,,6,,115,
File,BuildInfo.java,25,76,0.33,,,5,,116,
File,ButtonReleaseAction.java,27,22,1.23,,,3,,58,
File,By.java,101,275,0.37,,,46,,453,
File,ByAll.java,27,45,0.6,,,4,,85,
File,ByAllTest.java,16,158,0.1,,,12,,211,
File,ByChained.java,27,53,0.51,,,4,,95,
File,ByChainedTest.java,18,208,0.09,,,12,,269,
File,ByIdOrName.java,20,38,0.53,,,4,,70,
File,BySelector.java,16,32,0.5,,,2,,54,
File,ByTest.java,26,124,0.21,,,11,,176,
File,CSVTest.java,30,81,0.37,,,10,,116,
File,CacheBlockTest.java,16,16,1,,,1,,38,
File,CacheLookup.java,20,8,2.5,,,0,,31,
File,CachedContentServlet.java,22,24,0.92,,,2,,54,
File,Capabilities.java,43,53,0.81,,,9,,113,
File,CapabilitiesComparator.java,34,123,0.28,,,13,,191,
